645.753	782.41
646.085	776.53
646.416	790.54
646.747	749.42
647.079	770.66
647.41	789.64
647.741	778.79
648.072	762.52
648.403	833.48
648.734	776.99
649.065	815.4
649.396	830.77
649.727	838.45
650.058	677.55
650.389	708.29
650.72	745.8
651.05	815.4
651.381	851.56
651.712	729.08
652.042	690.66
652.373	680.26
652.704	751.22
653.034	649.53
653.364	715.07
653.695	675.74
654.025	583.54
654.355	615.18
654.686	675.29
655.016	581.74
655.346	565.92
655.676	581.28
656.006	635.52
656.336	641.4
656.666	668.06
656.996	776.53
657.326	673.94
657.656	708.74
657.986	635.07
658.315	567.27
658.645	522.98
658.975	536.54
659.304	626.93
659.634	616.99
659.964	550.1
660.293	492.7
660.622	492.7
660.952	527.95
661.281	663.54
661.61	756.65
661.94	767.04
662.269	685.69
662.598	622.86
662.927	515.75
663.256	445.69
663.585	423.1
663.914	455.64
664.243	482.76
664.572	482.76
664.901	461.06
665.23	500.83
665.559	507.16
665.887	466.03
666.216	442.08
666.544	395.07
666.873	372.93
667.202	424.9
667.53	497.67
667.859	411.35
668.187	458.8
668.515	458.35
668.844	475.07
669.172	487.73
669.5	436.66
669.828	358.92
670.156	390.55
670.484	393.72
670.812	386.04
671.14	363.44
671.468	470.1
671.796	551.45
672.124	444.79
672.452	404.11
672.78	388.29
673.107	365.7
673.435	348.52
673.763	364.34
674.09	362.98
674.418	348.52
674.745	387.84
675.073	404.11
675.4	388.75
675.727	399.14
676.055	405.92
676.382	373.38
676.709	353.95
677.036	388.75
677.363	325.92
677.69	369.76
678.017	462.87
678.344	448.86
678.671	452.47
678.998	373.83
679.325	414.06
679.652	367.05
679.979	336.32
680.305	342.19
680.632	398.69
680.958	403.21
681.285	328.64
681.612	359.37
681.938	379.26
682.264	383.32
682.591	343.55
682.917	322.31
683.243	344.45
683.57	338.58
683.896	309.2
684.222	352.59
684.548	357.56
684.874	296.55
685.2	247.28
685.526	298.35
685.852	339.03
686.178	352.14
686.504	314.62
686.829	282.53
687.155	249.54
687.481	290.22
687.806	298.81
688.132	326.83
688.458	272.59
688.783	291.12
689.109	277.56
689.434	239.15
689.759	265.81
690.085	248.64
690.41	248.64
690.735	224.23
691.06	274.4
691.385	313.27
691.71	237.34
692.035	243.67
692.36	271.69
692.685	263.55
